Length; Algorithm; Container; microseconds
100000; Find; vector<int>; 535
100000; Find; list<int>; 1634
100000; Find; vector<string>; 7275
100000; Find; list<string>; 3449
200000; Find; vector<int>; 1391
200000; Find; list<int>; 3425
200000; Find; vector<string>; 3673
200000; Find; list<string>; 6737
300000; Find; vector<int>; 1566
300000; Find; list<int>; 5059
300000; Find; vector<string>; 5468
300000; Find; list<string>; 10779
400000; Find; vector<int>; 2105
400000; Find; list<int>; 6950
400000; Find; vector<string>; 6525
400000; Find; list<string>; 14363
500000; Find; vector<int>; 2620
500000; Find; list<int>; 8821
500000; Find; vector<string>; 7989
500000; Find; list<string>; 18244
600000; Find; vector<int>; 3196
600000; Find; list<int>; 10252
600000; Find; vector<string>; 9680
600000; Find; list<string>; 22384
700000; Find; vector<int>; 3651
700000; Find; list<int>; 12160
700000; Find; vector<string>; 10888
700000; Find; list<string>; 25820
800000; Find; vector<int>; 4212
800000; Find; list<int>; 14839
800000; Find; vector<string>; 13155
800000; Find; list<string>; 29091
900000; Find; vector<int>; 4853
900000; Find; list<int>; 17127
900000; Find; vector<string>; 13921
900000; Find; list<string>; 32847
1000000; Find; vector<int>; 5273
1000000; Find; list<int>; 17376
1000000; Find; vector<string>; 15826
1000000; Find; list<string>; 35128
