Length; Algorithm; Container; microseconds
100000; Pop Front; vector<int>; 67
100000; Pop Front; list<int>; 0
100000; Pop Front; deque<int>; 0
100000; Pop Front; vector<string>; 632
100000; Pop Front; list<string>; 1
100000; Pop Front; deque<string>; 0
200000; Pop Front; vector<int>; 131
200000; Pop Front; list<int>; 1
200000; Pop Front; deque<int>; 0
200000; Pop Front; vector<string>; 1408
200000; Pop Front; list<string>; 0
200000; Pop Front; deque<string>; 0
300000; Pop Front; vector<int>; 235
300000; Pop Front; list<int>; 0
300000; Pop Front; deque<int>; 0
300000; Pop Front; vector<string>; 2847
300000; Pop Front; list<string>; 0
300000; Pop Front; deque<string>; 0
400000; Pop Front; vector<int>; 270
400000; Pop Front; list<int>; 0
400000; Pop Front; deque<int>; 0
400000; Pop Front; vector<string>; 4129
400000; Pop Front; list<string>; 0
400000; Pop Front; deque<string>; 1
500000; Pop Front; vector<int>; 358
500000; Pop Front; list<int>; 0
500000; Pop Front; deque<int>; 0
500000; Pop Front; vector<string>; 5704
500000; Pop Front; list<string>; 1
500000; Pop Front; deque<string>; 1
600000; Pop Front; vector<int>; 368
600000; Pop Front; list<int>; 1
600000; Pop Front; deque<int>; 0
600000; Pop Front; vector<string>; 4436
600000; Pop Front; list<string>; 1
600000; Pop Front; deque<string>; 1
700000; Pop Front; vector<int>; 276
700000; Pop Front; list<int>; 0
700000; Pop Front; deque<int>; 0
700000; Pop Front; vector<string>; 6739
700000; Pop Front; list<string>; 2
700000; Pop Front; deque<string>; 0
800000; Pop Front; vector<int>; 691
800000; Pop Front; list<int>; 0
800000; Pop Front; deque<int>; 0
800000; Pop Front; vector<string>; 6171
800000; Pop Front; list<string>; 1
800000; Pop Front; deque<string>; 0
900000; Pop Front; vector<int>; 671
900000; Pop Front; list<int>; 0
900000; Pop Front; deque<int>; 0
900000; Pop Front; vector<string>; 5798
900000; Pop Front; list<string>; 1
900000; Pop Front; deque<string>; 0
1000000; Pop Front; vector<int>; 445
1000000; Pop Front; list<int>; 0
1000000; Pop Front; deque<int>; 0
1000000; Pop Front; vector<string>; 11263
1000000; Pop Front; list<string>; 1
1000000; Pop Front; deque<string>; 0
