Length; Algorithm; Container; microseconds
100000; Push Front; vector<int>; 0
100000; Push Front; list<int>; 0
100000; Push Front; deque<int>; 0
100000; Push Front; vector<string>; 10415
100000; Push Front; list<int>; 0
100000; Push Front; deque<string>; 0
200000; Push Front; vector<int>; 0
200000; Push Front; list<int>; 0
200000; Push Front; deque<int>; 0
200000; Push Front; vector<string>; 19840
200000; Push Front; list<int>; 0
200000; Push Front; deque<string>; 0
300000; Push Front; vector<int>; 496
300000; Push Front; list<int>; 0
300000; Push Front; deque<int>; 0
300000; Push Front; vector<string>; 30752
300000; Push Front; list<int>; 0
300000; Push Front; deque<string>; 0
400000; Push Front; vector<int>; 497
400000; Push Front; list<int>; 0
400000; Push Front; deque<int>; 0
400000; Push Front; vector<string>; 39678
400000; Push Front; list<int>; 0
400000; Push Front; deque<string>; 0
500000; Push Front; vector<int>; 497
500000; Push Front; list<int>; 0
500000; Push Front; deque<int>; 0
500000; Push Front; vector<string>; 68448
500000; Push Front; list<int>; 0
500000; Push Front; deque<string>; 0
600000; Push Front; vector<int>; 496
600000; Push Front; list<int>; 0
600000; Push Front; deque<int>; 0
600000; Push Front; vector<string>; 58527
600000; Push Front; list<int>; 0
600000; Push Front; deque<string>; 0
700000; Push Front; vector<int>; 497
700000; Push Front; list<int>; 0
700000; Push Front; deque<int>; 0
700000; Push Front; vector<string>; 67952
700000; Push Front; list<int>; 0
700000; Push Front; deque<string>; 0
800000; Push Front; vector<int>; 993
800000; Push Front; list<int>; 0
800000; Push Front; deque<int>; 0
800000; Push Front; vector<string>; 83300
800000; Push Front; list<int>; 0
800000; Push Front; deque<string>; 0
900000; Push Front; vector<int>; 992
900000; Push Front; list<int>; 0
900000; Push Front; deque<int>; 0
900000; Push Front; vector<string>; 87295
900000; Push Front; list<int>; 0
900000; Push Front; deque<string>; 0
1000000; Push Front; vector<int>; 992
1000000; Push Front; list<int>; 0
1000000; Push Front; deque<int>; 0
1000000; Push Front; vector<string>; 101681
1000000; Push Front; list<int>; 0
1000000; Push Front; deque<string>; 0
