Length; Algorithm; Container; microseconds
100000; Sort; vector<int>; 32240
100000; Sort; list<int>; 74400
100000; Sort; vector<string>; 142848
100000; Sort; list<string>; 139872
200000; Sort; vector<int>; 63488
200000; Sort; list<int>; 176575
200000; Sort; vector<string>; 333313
200000; Sort; list<string>; 517327
300000; Sort; vector<int>; 105152
300000; Sort; list<int>; 266353
300000; Sort; vector<string>; 624464
300000; Sort; list<string>; 546621
400000; Sort; vector<int>; 144832
400000; Sort; list<int>; 378448
400000; Sort; vector<string>; 765823
400000; Sort; list<string>; 803024
500000; Sort; vector<int>; 200880
500000; Sort; list<int>; 453320
500000; Sort; vector<string>; 1022255
500000; Sort; list<string>; 894784
600000; Sort; vector<int>; 242545
600000; Sort; list<int>; 594209
600000; Sort; vector<string>; 1179983
600000; Sort; list<string>; 1360058
700000; Sort; vector<int>; 240064
700000; Sort; list<int>; 694896
700000; Sort; vector<string>; 1385848
700000; Sort; list<string>; 1345647
800000; Sort; vector<int>; 275776
800000; Sort; list<int>; 808976
800000; Sort; vector<string>; 1607039
800000; Sort; list<string>; 1650663
900000; Sort; vector<int>; 331824
900000; Sort; list<int>; 917104
900000; Sort; vector<string>; 1875374
900000; Sort; list<string>; 1767247
1000000; Sort; vector<int>; 352655
1000000; Sort; list<int>; 1135318
1000000; Sort; vector<string>; 2112463
1000000; Sort; list<string>; 2098079
