Length; Algorithm; Container; microseconds
100000; Find; vector<int>; 255
100000; Find; list<int>; 792
100000; Find; vector<string>; 2903
100000; Find; list<string>; 5977
200000; Find; vector<int>; 249
200000; Find; list<int>; 712
200000; Find; vector<string>; 7244
200000; Find; list<string>; 12428
300000; Find; vector<int>; 246
300000; Find; list<int>; 710
300000; Find; vector<string>; 8995
300000; Find; list<string>; 18227
400000; Find; vector<int>; 250
400000; Find; list<int>; 724
400000; Find; vector<string>; 11923
400000; Find; list<string>; 24599
500000; Find; vector<int>; 248
500000; Find; list<int>; 718
500000; Find; vector<string>; 14862
500000; Find; list<string>; 31081
600000; Find; vector<int>; 249
600000; Find; list<int>; 758
600000; Find; vector<string>; 17931
600000; Find; list<string>; 36943
700000; Find; vector<int>; 255
700000; Find; list<int>; 738
700000; Find; vector<string>; 20767
700000; Find; list<string>; 42946
800000; Find; vector<int>; 253
800000; Find; list<int>; 725
800000; Find; vector<string>; 23702
800000; Find; list<string>; 50031
900000; Find; vector<int>; 246
900000; Find; list<int>; 728
900000; Find; vector<string>; 27056
900000; Find; list<string>; 62932
1000000; Find; vector<int>; 247
1000000; Find; list<int>; 783
1000000; Find; vector<string>; 29575
1000000; Find; list<string>; 61228
