Length;	Algorithm;	Container;	Time;	Units
100000;	find;	vector<int>;	0	ms
200000;	find;	vector<int>;	0	ms
300000;	find;	vector<int>;	0	ms
400000;	find;	vector<int>;	0	ms
500000;	find;	vector<int>;	0	ms
600000;	find;	vector<int>;	0	ms
700000;	find;	vector<int>;	0	ms
800000;	find;	vector<int>;	0	ms
900000;	find;	vector<int>;	0	ms
1000000;	find;	vector<int>;	0	ms
100000;	find;	list<int>;	0	ms
200000;	find;	list<int>;	0	ms
300000;	find;	list<int>;	0	ms
400000;	find;	list<int>;	0	ms
500000;	find;	list<int>;	0	ms
600000;	find;	list<int>;	0	ms
700000;	find;	list<int>;	0	ms
800000;	find;	list<int>;	0	ms
900000;	find;	list<int>;	0	ms
1000000;	find;	list<int>;	0	ms
