Length; Algorithm; Container; microseconds
100000; Pop Back; vector<int>; 0
100000; Pop Back; list<int>; 0
100000; Pop Back; deque<int>; 0
100000; Pop Back; vector<string>; 0
100000; Pop Back; list<string>; 0
100000; Pop Back; deque<string>; 0
200000; Pop Back; vector<int>; 0
200000; Pop Back; list<int>; 0
200000; Pop Back; deque<int>; 0
200000; Pop Back; vector<string>; 0
200000; Pop Back; list<string>; 1
200000; Pop Back; deque<string>; 1
300000; Pop Back; vector<int>; 0
300000; Pop Back; list<int>; 0
300000; Pop Back; deque<int>; 0
300000; Pop Back; vector<string>; 1
300000; Pop Back; list<string>; 1
300000; Pop Back; deque<string>; 1
400000; Pop Back; vector<int>; 0
400000; Pop Back; list<int>; 0
400000; Pop Back; deque<int>; 0
400000; Pop Back; vector<string>; 0
400000; Pop Back; list<string>; 0
400000; Pop Back; deque<string>; 2
500000; Pop Back; vector<int>; 0
500000; Pop Back; list<int>; 0
500000; Pop Back; deque<int>; 0
500000; Pop Back; vector<string>; 1
500000; Pop Back; list<string>; 0
500000; Pop Back; deque<string>; 2
600000; Pop Back; vector<int>; 0
600000; Pop Back; list<int>; 0
600000; Pop Back; deque<int>; 0
600000; Pop Back; vector<string>; 2
600000; Pop Back; list<string>; 0
600000; Pop Back; deque<string>; 1
700000; Pop Back; vector<int>; 0
700000; Pop Back; list<int>; 1
700000; Pop Back; deque<int>; 0
700000; Pop Back; vector<string>; 1
700000; Pop Back; list<string>; 1
700000; Pop Back; deque<string>; 2
800000; Pop Back; vector<int>; 0
800000; Pop Back; list<int>; 0
800000; Pop Back; deque<int>; 0
800000; Pop Back; vector<string>; 1
800000; Pop Back; list<string>; 1
800000; Pop Back; deque<string>; 1
900000; Pop Back; vector<int>; 0
900000; Pop Back; list<int>; 0
900000; Pop Back; deque<int>; 0
900000; Pop Back; vector<string>; 1
900000; Pop Back; list<string>; 1
900000; Pop Back; deque<string>; 2
1000000; Pop Back; vector<int>; 0
1000000; Pop Back; list<int>; 0
1000000; Pop Back; deque<int>; 0
1000000; Pop Back; vector<string>; 2
1000000; Pop Back; list<string>; 1
1000000; Pop Back; deque<string>; 1
