Length; Algorithm; Container; microseconds
100000; Pop Front; vector<int>; 73
100000; Pop Front; list<int>; 1
100000; Pop Front; deque<int>; 0
100000; Pop Front; vector<string>; 1290
100000; Pop Front; list<string>; 1
100000; Pop Front; deque<string>; 1
200000; Pop Front; vector<int>; 153
200000; Pop Front; list<int>; 1
200000; Pop Front; deque<int>; 0
200000; Pop Front; vector<string>; 2510
200000; Pop Front; list<string>; 1
200000; Pop Front; deque<string>; 0
300000; Pop Front; vector<int>; 232
300000; Pop Front; list<int>; 0
300000; Pop Front; deque<int>; 0
300000; Pop Front; vector<string>; 4181
300000; Pop Front; list<string>; 1
300000; Pop Front; deque<string>; 0
400000; Pop Front; vector<int>; 336
400000; Pop Front; list<int>; 0
400000; Pop Front; deque<int>; 0
400000; Pop Front; vector<string>; 7882
400000; Pop Front; list<string>; 1
400000; Pop Front; deque<string>; 1
500000; Pop Front; vector<int>; 403
500000; Pop Front; list<int>; 1
500000; Pop Front; deque<int>; 0
500000; Pop Front; vector<string>; 6343
500000; Pop Front; list<string>; 1
500000; Pop Front; deque<string>; 1
600000; Pop Front; vector<int>; 510
600000; Pop Front; list<int>; 0
600000; Pop Front; deque<int>; 0
600000; Pop Front; vector<string>; 7600
600000; Pop Front; list<string>; 2
600000; Pop Front; deque<string>; 1
700000; Pop Front; vector<int>; 595
700000; Pop Front; list<int>; 0
700000; Pop Front; deque<int>; 0
700000; Pop Front; vector<string>; 8981
700000; Pop Front; list<string>; 1
700000; Pop Front; deque<string>; 1
800000; Pop Front; vector<int>; 654
800000; Pop Front; list<int>; 0
800000; Pop Front; deque<int>; 0
800000; Pop Front; vector<string>; 10509
800000; Pop Front; list<string>; 2
800000; Pop Front; deque<string>; 1
900000; Pop Front; vector<int>; 760
900000; Pop Front; list<int>; 1
900000; Pop Front; deque<int>; 0
900000; Pop Front; vector<string>; 11264
900000; Pop Front; list<string>; 1
900000; Pop Front; deque<string>; 1
1000000; Pop Front; vector<int>; 792
1000000; Pop Front; list<int>; 1
1000000; Pop Front; deque<int>; 0
1000000; Pop Front; vector<string>; 12537
1000000; Pop Front; list<string>; 1
1000000; Pop Front; deque<string>; 1
