Length; Algorithm; Container; microseconds
100000; Push Back; vector<int>; 498
100000; Push Back; list<int>; 0
100000; Push Back; deque<int>; 0
100000; Push Back; vector<string>; 9424
100000; Push Back; list<int>; 0
100000; Push Back; deque<string>; 0
200000; Push Back; vector<int>; 524
200000; Push Back; list<int>; 0
200000; Push Back; deque<int>; 0
200000; Push Back; vector<string>; 19321
200000; Push Back; list<int>; 0
200000; Push Back; deque<string>; 0
300000; Push Back; vector<int>; 498
300000; Push Back; list<int>; 0
300000; Push Back; deque<int>; 0
300000; Push Back; vector<string>; 29264
300000; Push Back; list<int>; 0
300000; Push Back; deque<string>; 0
400000; Push Back; vector<int>; 496
400000; Push Back; list<int>; 0
400000; Push Back; deque<int>; 0
400000; Push Back; vector<string>; 37696
400000; Push Back; list<int>; 0
400000; Push Back; deque<string>; 0
500000; Push Back; vector<int>; 1016
500000; Push Back; list<int>; 0
500000; Push Back; deque<int>; 0
500000; Push Back; vector<string>; 47640
500000; Push Back; list<int>; 0
500000; Push Back; deque<string>; 0
600000; Push Back; vector<int>; 992
600000; Push Back; list<int>; 0
600000; Push Back; deque<int>; 0
600000; Push Back; vector<string>; 57040
600000; Push Back; list<int>; 0
600000; Push Back; deque<string>; 0
700000; Push Back; vector<int>; 496
700000; Push Back; list<int>; 0
700000; Push Back; deque<int>; 0
700000; Push Back; vector<string>; 66959
700000; Push Back; list<int>; 0
700000; Push Back; deque<string>; 0
800000; Push Back; vector<int>; 992
800000; Push Back; list<int>; 0
800000; Push Back; deque<int>; 0
800000; Push Back; vector<string>; 76385
800000; Push Back; list<int>; 0
800000; Push Back; deque<string>; 0
900000; Push Back; vector<int>; 990
900000; Push Back; list<int>; 0
900000; Push Back; deque<int>; 0
900000; Push Back; vector<string>; 85779
900000; Push Back; list<int>; 0
900000; Push Back; deque<string>; 0
1000000; Push Back; vector<int>; 993
1000000; Push Back; list<int>; 0
1000000; Push Back; deque<int>; 0
1000000; Push Back; vector<string>; 94736
1000000; Push Back; list<int>; 0
1000000; Push Back; deque<string>; 0
