Length; Algorithm; Container; microseconds
100000; Push Front; vector<int>; 496
100000; Push Front; list<int>; 0
100000; Push Front; deque<int>; 0
100000; Push Front; vector<string>; 9424
100000; Push Front; list<int>; 0
100000; Push Front; deque<string>; 0
200000; Push Front; vector<int>; 496
200000; Push Front; list<int>; 0
200000; Push Front; deque<int>; 0
200000; Push Front; vector<string>; 19343
200000; Push Front; list<int>; 0
200000; Push Front; deque<string>; 0
300000; Push Front; vector<int>; 496
300000; Push Front; list<int>; 0
300000; Push Front; deque<int>; 0
300000; Push Front; vector<string>; 29760
300000; Push Front; list<int>; 0
300000; Push Front; deque<string>; 0
400000; Push Front; vector<int>; 496
400000; Push Front; list<int>; 0
400000; Push Front; deque<int>; 0
400000; Push Front; vector<string>; 38688
400000; Push Front; list<int>; 0
400000; Push Front; deque<string>; 0
500000; Push Front; vector<int>; 496
500000; Push Front; list<int>; 0
500000; Push Front; deque<int>; 0
500000; Push Front; vector<string>; 51087
500000; Push Front; list<int>; 0
500000; Push Front; deque<string>; 0
600000; Push Front; vector<int>; 496
600000; Push Front; list<int>; 0
600000; Push Front; deque<int>; 0
600000; Push Front; vector<string>; 57536
600000; Push Front; list<int>; 0
600000; Push Front; deque<string>; 0
700000; Push Front; vector<int>; 992
700000; Push Front; list<int>; 0
700000; Push Front; deque<int>; 0
700000; Push Front; vector<string>; 67482
700000; Push Front; list<int>; 0
700000; Push Front; deque<string>; 0
800000; Push Front; vector<int>; 993
800000; Push Front; list<int>; 0
800000; Push Front; deque<int>; 0
800000; Push Front; vector<string>; 76412
800000; Push Front; list<int>; 0
800000; Push Front; deque<string>; 0
900000; Push Front; vector<int>; 992
900000; Push Front; list<int>; 0
900000; Push Front; deque<int>; 0
900000; Push Front; vector<string>; 87284
900000; Push Front; list<int>; 0
900000; Push Front; deque<string>; 0
1000000; Push Front; vector<int>; 2977
1000000; Push Front; list<int>; 0
1000000; Push Front; deque<int>; 0
1000000; Push Front; vector<string>; 98207
1000000; Push Front; list<int>; 0
1000000; Push Front; deque<string>; 0
