Length; Algorithm; Container; microseconds
100000; Sort; vector<int>; 63143
100000; Sort; list<int>; 100391
100000; Sort; vector<string>; 123270
100000; Sort; list<string>; 205900
200000; Sort; vector<int>; 131702
200000; Sort; list<int>; 232583
200000; Sort; vector<string>; 286843
200000; Sort; list<string>; 417378
300000; Sort; vector<int>; 201474
300000; Sort; list<int>; 368438
300000; Sort; vector<string>; 451349
300000; Sort; list<string>; 713366
400000; Sort; vector<int>; 272065
400000; Sort; list<int>; 503891
400000; Sort; vector<string>; 655788
400000; Sort; list<string>; 927534
500000; Sort; vector<int>; 344754
500000; Sort; list<int>; 710036
500000; Sort; vector<string>; 814980
500000; Sort; list<string>; 1146817
600000; Sort; vector<int>; 413856
600000; Sort; list<int>; 839192
600000; Sort; vector<string>; 1057889
600000; Sort; list<string>; 1665325
700000; Sort; vector<int>; 491795
700000; Sort; list<int>; 1003312
700000; Sort; vector<string>; 1264637
700000; Sort; list<string>; 1870090
800000; Sort; vector<int>; 565516
800000; Sort; list<int>; 1143293
800000; Sort; vector<string>; 1567918
800000; Sort; list<string>; 2225999
900000; Sort; vector<int>; 641085
900000; Sort; list<int>; 1332811
900000; Sort; vector<string>; 1613069
900000; Sort; list<string>; 2879510
1000000; Sort; vector<int>; 934818
1000000; Sort; list<int>; 2091627
1000000; Sort; vector<string>; 2744203
1000000; Sort; list<string>; 3310267
